country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
USA,besitzt,verizon,unterteilt sich in,yahoo_analytics,trackt mittels,site_analytics
USA,besitzt,zendesk,unterteilt sich in,zendesk,trackt mittels,customer_interaction
FRA,besitzt,teads,unterteilt sich in,teads,trackt mittels,advertising
RUS,besitzt,yandex,unterteilt sich in,yandex_direct,trackt mittels,site_analytics
USA,besitzt,amazon_associates,unterteilt sich in,amazon,trackt mittels,misc
USA,besitzt,microsoft,unterteilt sich in,office.net,trackt mittels,misc
USA,besitzt,viglink,unterteilt sich in,viglink,trackt mittels,advertising
GBR,besitzt,adyoulike,unterteilt sich in,adyoulike,trackt mittels,advertising
USA,besitzt,markmonitor,unterteilt sich in,markmonitor,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,ampproject.org,trackt mittels,misc
USA,besitzt,bugsnag,unterteilt sich in,bugsnag,trackt mittels,site_analytics
USA,besitzt,microsoft,unterteilt sich in,linkedin,trackt mittels,misc
USA,besitzt,mixpanel,unterteilt sich in,mixpanel,trackt mittels,site_analytics
USA,besitzt,zencoder,unterteilt sich in,zencoder,trackt mittels,audio_video_player
USA,besitzt,microsoft,unterteilt sich in,azureedge.net,trackt mittels,cdn
FRA,besitzt,datadome,unterteilt sich in,datadome,trackt mittels,site_analytics
USA,besitzt,lotame,unterteilt sich in,lotame,trackt mittels,advertising
CHN,besitzt,baidu,unterteilt sich in,baidu_static,trackt mittels,misc
USA,besitzt,bazaarvoice,unterteilt sich in,bazaarvoice,trackt mittels,customer_interaction
USA,besitzt,threatmetrix,unterteilt sich in,threatmetrix,trackt mittels,site_analytics
USA,besitzt,sharethis,unterteilt sich in,sharethis,trackt mittels,advertising
FRA,besitzt,weborama,unterteilt sich in,weborama,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,office.com,trackt mittels,misc
USA,besitzt,wikia,unterteilt sich in,wikia_cdn,trackt mittels,cdn
USA,besitzt,appdynamics,unterteilt sich in,appdynamics,trackt mittels,site_analytics
USA,besitzt,sharethrough,unterteilt sich in,sharethrough,trackt mittels,advertising
USA,besitzt,ensighten,unterteilt sich in,ensighten,trackt mittels,essential
USA,besitzt,amazon_associates,unterteilt sich in,twitch.tv,trackt mittels,audio_video_player
USA,besitzt,intercom,unterteilt sich in,intercom,trackt mittels,customer_interaction
DNK,besitzt,trustpilot,unterteilt sich in,trustpilot,trackt mittels,customer_interaction
USA,besitzt,hubspot,unterteilt sich in,hubspot,trackt mittels,site_analytics
USA,besitzt,vimeo,unterteilt sich in,vimeo,trackt mittels,audio_video_player
NLD,besitzt,usabilla,unterteilt sich in,usabilla,trackt mittels,customer_interaction
FRA,besitzt,cedexis,unterteilt sich in,cedexis_radar,trackt mittels,site_analytics
USA,besitzt,onetag,unterteilt sich in,onetag,trackt mittels,advertising
USA,besitzt,verizon,unterteilt sich in,oath_inc,trackt mittels,misc
USA,besitzt,google,unterteilt sich in,blogspot_com,trackt mittels,misc
USA,besitzt,microsoft,unterteilt sich in,visualstudio.com,trackt mittels,misc
JPN,besitzt,brightcove,unterteilt sich in,brightcove_player,trackt mittels,audio_video_player
USA,besitzt,liveperson,unterteilt sich in,liveperson,trackt mittels,customer_interaction
USA,besitzt,microsoft,unterteilt sich in,skype,trackt mittels,customer_interaction
USA,besitzt,neustar,unterteilt sich in,aggregate_knowledge,trackt mittels,advertising
JPN,besitzt,brightcove,unterteilt sich in,brightcove,trackt mittels,audio_video_player
USA,besitzt,medallia,unterteilt sich in,kampyle,trackt mittels,customer_interaction
GBR,besitzt,skimlinks,unterteilt sich in,skimlinks,trackt mittels,advertising
USA,besitzt,salesforce,unterteilt sich in,salesforce.com,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,linkedin_ads,trackt mittels,advertising
GER,besitzt,webtrekk,unterteilt sich in,webtrekk,trackt mittels,site_analytics
FRA,besitzt,kameleoon,unterteilt sich in,kameleoon,trackt mittels,site_analytics
USA,besitzt,salesforce,unterteilt sich in,cquotient.com,trackt mittels,site_analytics
CAN,besitzt,shopify,unterteilt sich in,shopifycdn.com,trackt mittels,cdn
ITA,besitzt,iubenda,unterteilt sich in,iubenda.com,trackt mittels,essential
USA,besitzt,comcast,unterteilt sich in,freewheel,trackt mittels,advertising
CHN,besitzt,umeng,unterteilt sich in,cnzz.com,trackt mittels,site_analytics
FRA,besitzt,vivendi,unterteilt sich in,dailymotion,trackt mittels,misc
USA,besitzt,sailthru,unterteilt sich in,sailthru_horizon,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,aspnetcdn,trackt mittels,cdn
USA,besitzt,verizon,unterteilt sich in,yahoo_ad_manager,trackt mittels,advertising
USA,besitzt,mediamath,unterteilt sich in,mediamath,trackt mittels,advertising
USA,besitzt,spot.im,unterteilt sich in,spot.im,trackt mittels,social_media
USA,besitzt,liveintent,unterteilt sich in,live_intent,trackt mittels,site_analytics
USA,besitzt,adobe,unterteilt sich in,adobe_dynamic_media,trackt mittels,advertising
USA,besitzt,nativo,unterteilt sich in,nativo,trackt mittels,advertising
USA,besitzt,fullstory,unterteilt sich in,fullstory,trackt mittels,site_analytics
USA,besitzt,crownpeak,unterteilt sich in,evidon,trackt mittels,essential
USA,besitzt,twitter,unterteilt sich in,twitter_analytics,trackt mittels,site_analytics
USA,besitzt,microsoft,unterteilt sich in,linkedin_marketing_solutions,trackt mittels,advertising
GBR,besitzt,flashtalking,unterteilt sich in,flashtalking,trackt mittels,advertising
USA,besitzt,salesforce,unterteilt sich in,igodigital,trackt mittels,customer_interaction
ISR,besitzt,forter,unterteilt sich in,forter,trackt mittels,advertising
USA,besitzt,salesforce,unterteilt sich in,salesforce_live_agent,trackt mittels,customer_interaction
USA,besitzt,comcast,unterteilt sich in,stickyads,trackt mittels,advertising
USA,besitzt,verizon,unterteilt sich in,vidible,trackt mittels,advertising
